㗀,you
㗁,e
㗂,sheng
㗃,hun
㗃,wen
㗄,ku
㗅,hu
㗆,ge
㗇,xia
㗈,man
㗉,e
㗉,lve
㗊,ji
㗋,hou
㗌,zhi
㗎,jia
㗏,wai
㗑,bai
㗒,ai
㗓,zhui
㗔,qian
㗕,gou
㗖,dan
㗗,bei
㗘,bo
㗙,chu
㗙,na
㗙,zhou
㗚,li
㗛,xiao
㗜,xiu
㗢,dong
㗢,hong
㗣,ti
㗤,cu
㗥,guo
㗥,kuo
㗦,lao
㗧,die
㗧,zhi
㗨,ai
㗨,xie
㗩,xi
㗫,qie
㗬,zha
㗭,xi
㗰,cong
㗱,ji
㗲,huo
㗳,ta
㗴,yan
㗵,xu
㗶,po
㗷,sai
㗻,guo
㗼,ye
㗽,xiang
㗾,xue
㗿,he
㗿,xia
㘀,zuo
㘁,yi
㘂,ci
㘄,leng
㘅,xian
㘆,tai
㘇,rong
㘈,ni
㘈,yi
㘉,jie
㘊,xi
㘊,yi
㘋,xian
㘌,ju
㘍,ji
㘎,han
㘐,pao
㘑,li
㘓,lan
㘔,sai
㘕,han
㘕,lan
㘖,yan
㘗,qu
㘙,yan
㘚,han
㘛,kan
㘜,chi
㘝,nie
㘞,huo
㘠,bi
㘡,xia
㘢,weng
㘣,xuan
㘤,wan
㘥,e
㘥,you
㘦,qin
㘧,xu
㘨,nie
㘩,bi
㘪,hao
㘫,jing
㘬,ao
㘬,wu
㘭,ao
㘰,zhen
㘱,tan
㘲,ju
㘴,zuo
㘵,bu
㘶,jie
㘷,ai
㘸,zang
㘸,zuo
㘹,ji
㘺,fa
㘿,nie
㙀,jiu
㙀,liu
㙁,mei
㙁,mu
㙂,dui
㙂,weng
㙃,bang
㙄,bi
㙅,bao
㙇,chu
㙈,xia
㙉,dian
㙉,tian
㙊,chang
㙊,zhang
㙍,duo
㙎,wei
㙏,fu
㙐,duo
㙑,yu
㙒,ye
㙓,kui
㙔,han
㙔,wei
㙕,kuai
㙗,wei
㙘,yao
㙙,long
㙚,xing
㙛,bu
㙜,chi
㙝,xie
㙞,nie
㙟,lang
㙠,yi
㙡,zong
㙢,man
㙣,zhang
㙤,xia
㙥,gun
㙦,xie
㙨,ji
㙩,liao
㙪,yi
㙫,ji
㙬,yin
㙮,da
㙯,yi
㙰,xie
㙱,hao
㙲,yong
㙳,han
㙳,kan
㙴,chan
㙵,tai
㙶,tang
㙷,zhe
㙷,zhi
㙸,bao
㙹,meng
㙺,gui
㙻,chan
㙼,lei
㙾,xi
㚀,xi
㚁,qiao
㚂,nang
㚃,yun
㚅,long
㚆,fu
㚇,zong
㚉,gu
㚊,kai
㚋,diao
㚌,hua
㚍,kui
㚏,gao
㚐,tao
㚒,shan
㚓,lai
㚔,nie
㚔,xing
㚕,fu
㚖,gao
㚖,ze
㚗,qie
㚘,ban
㚘,fu
㚘,he
㚙,jia
㚚,kong
㚛,xi
㚜,xu
㚜,yu
㚝,zhui
㚞,shen
㚟,chuo
㚠,xiao
㚡,ji
㚢,nu
㚢,wu
㚣,xiao
㚤,yi
㚥,yu
㚦,yi
㚧,yan
㚨,shen
㚩,ran
㚪,hao
㚫,sa
㚬,jun
㚭,you
㚯,xin
㚯,xun
㚰,bi
㚱,qiu
㚲,chan
㚲,dian
㚴,bu
㚵,dong
㚶,si
㚶,yi
㚷,er
㚹,miao
㚺,yun
㚻,ji
㚼,hao
㚽,qiao
㚾,xiong
㚿,pao
㛀,chu
㛀,zou
㛁,peng
㛂,nuo
㛃,jie
㛄,yi
㛅,er
㛆,duo
㛊,duo
㛍,qie
㛍,xia
㛍,xian
㛎,lv
㛏,qiu
㛐,sou
㛑,can
㛒,dou
㛓,xi
㛔,feng
㛕,e
㛕,yi
㛖,suo
㛗,qie
㛗,suo
㛗,zuo
㛘,po
㛙,qie
㛙,xin
㛚,tong
㛚,yong
㛛,xin
㛜,you
㛝,bei
㛞,long
㛣,yun
㛤,li
㛥,ta
㛦,lan
㛧,man
㛨,qiang
㛩,zhou
㛪,yan
㛫,xi
㛬,lu
㛭,xi
㛮,sao
㛯,fan
㛯,mian
㛯,zhuan
㛱,wei
㛲,fa
㛳,yi
㛴,nao
㛵,cheng
㛶,tan
㛷,ji
㛸,shu
㛹,pian
㛺,an
㛻,kua
㛼,cha
㛼,sha
㛾,xian
㛿,zhi
㜂,feng
㜃,lian
㜄,xun
㜅,xu
㜆,mi
㜇,hui
㜇,ye
㜈,mu
㜉,yong
㜊,zhan
㜋,yi
㜌,gou
㜌,kou
㜌,nou
㜍,tang
㜎,xi
㜏,yun
㜐,shu
㜑,fu
㜒,yi
㜓,da
㜕,lian
㜖,cao
㜗,can
㜗,sen
㜘,cha
㜘,ju
㜘,qu
㜙,lu
㜚,su
㜛,nen
㜜,ao
㜝,an
㜝,yan
㜞,can
㜞,qian
㜠,cui
㜡,cong
㜢,lv
㜣,shan
㜤,nian
㜤,tan
㜤,tian
㜥,mai
㜦,xin
㜧,yue
㜨,nai
㜩,ao
㜪,shen
㜫,ma
㜮,lan
㜯,xi
㜰,yue
㜱,zhi
㜲,ying
㜳,huai
㜴,meng
㜵,niao
㜶,wan
㜷,mi
㜷,xian
㜸,nie
㜹,qu
㜺,zan
㜻,lian
㜼,zhi
㜽,zi
㜾,hai
㜿,xu
㝀,hao
㝁,qiong
㝁,xuan
㝂,zhe
㝂,zhi
㝃,mian
㝃,wan
㝄,chun
㝅,gou
㝇,chun
㝈,luan
㝉,zhu
㝊,shou
㝋,liao
㝌,jiu
㝍,xie
㝎,ding
㝏,jie
㝐,rong
㝑,mang
㝓,ke
㝔,yao
㝕,ning
㝖,yi
㝗,lang
㝘,yong
㝙,yin
㝚,yan
㝛,su
㝝,lin
㝞,ya
㝟,mao
㝠,ming
㝡,zui
㝢,yu
㝣,yi
㝤,gou
㝥,mi
㝦,jun
㝧,wen
㝩,kang
㝪,dian
㝫,long
㝭,xing
㝮,cui
㝯,qiao
㝰,mian
㝱,meng
㝲,qin
㝴,wan
㝵,de
㝶,ai
㝸,bian
㝹,nou
㝺,lian
㝻,jin
㝼,yu
㝽,chui
㝾,zuo
㝿,bo
㞀,hui
㞁,yao
㞂,tui
㞃,ji
㞄,an
㞅,luo
㞆,ji
㞇,wei
㞈,bo
㞉,za
㞊,xu
㞋,ji
㞋,nian
㞌,yun
㞎,ba
㞎,pa
㞏,jie
㞏,zhe
㞐,ju
㞑,wei
㞒,xi
㞒,xie
㞓,ji
㞓,qi
㞔,yi
㞕,xie
㞖,ci
㞗,qiu
㞘,du
㞙,niao
㞚,qi
㞚,zha
㞛,ji
㞜,tui
㞞,song
㞟,dian
㞟,ding
㞠,lao
㞡,zhan
㞤,cen
㞤,yin
㞥,cen
㞦,ji
㞧,hui
㞨,zi
㞩,lan
㞪,nao
㞫,ju
㞬,qin
㞭,dai
㞯,jie
㞰,xu
㞱,cong
㞲,yong
㞳,dou
㞴,chi
㞴,min
㞶,min
㞷,huang
㞸,sui
㞹,ke
㞺,zu
㞻,hao
㞼,cheng
㞽,xue
㞾,ni
㞿,chi
㟀,lian
㟁,an
㟂,mu
㟃,si
㟄,xiang
㟅,yang
㟆,hua
㟇,cuo
㟈,qiu
㟉,lao
㟊,fu
㟋,dui
㟌,mang
㟍,lang
㟎,tui
㟎,tuo
㟏,han
㟐,mang
㟑,bo
㟒,qun
㟓,qi
㟔,han
㟖,long
㟘,tiao
㟙,ze
㟚,qi
㟛,zan
㟜,mi
㟝,pei
㟞,zhan
㟟,xiang
㟠,gang
㟢,qi
㟤,lu
㟥,cen
㟦,yun
㟧,e
㟨,duan
㟩,min
㟪,wei
㟫,quan
㟬,sou
㟭,min
㟮,tu
㟰,ming
㟱,yao
㟲,yuan
㟳,li
㟴,kuai
㟵,gang
㟶,yuan
㟷,da
㟸,gao
㟹,lao
㟺,lou
㟻,qian
㟼,ao
㟽,biao
㟾,yong
㟿,mang
㠀,dao
㠂,ao
㠄,xi
㠅,fu
㠆,dan
㠇,jiu
㠈,run
㠉,tong
㠊,qu
㠋,e
㠌,qi
㠍,ji
㠎,ji
㠎,jie
㠏,hua
㠐,jiao
㠑,zui
㠒,biao
㠓,meng
㠔,bai
㠕,wei
㠖,yi
㠗,ao
㠘,yu
㠙,yao
㠚,dui
㠛,wo
㠜,ni
㠝,cuan
㠟,li
㠠,lv
㠡,niao
㠢,huai
㠣,li
㠥,lei
㠥,lv
㠦,feng
㠧,mi
㠨,yu
㠪,ju
㠭,zhan
㠮,gang
㠮,peng
㠯,yi
㠱,ji
㠱,qi
㠲,bi
㠴,ren
㠵,huang
㠶,fan
㠷,ge
㠸,fu
㠹,jie
㠺,miao
㠺,sha
㠼,si
㠽,tong
㠾,yuan
㠿,ci
㠿,zi
㡀,bi
㡁,kua
㡂,li
㡃,huang
㡄,xun
㡅,nuo
㡇,jie
㡇,zhe
㡈,men
㡈,mian
㡈,wen
㡉,xian
㡊,qia
㡋,an
㡋,ye
㡌,mao
㡎,sen
㡎,shen
㡏,shu
㡏,tou
㡏,xu
㡑,jiao
㡒,zhun
㡓,hui
㡓,kun
㡔,wu
㡕,ying
㡖,chuang
㡗,ti
㡘,lian
㡘,lin
㡙,bi
㡚,gou
㡛,mang
㡜,xie
㡜,xue
㡝,feng
㡞,lou
㡞,lv
㡟,zao
㡠,zheng
㡡,chu
㡢,man
㡣,long
㡥,yin
㡦,pin
㡧,zhen
㡧,zheng
㡨,jian
㡨,qian
㡩,luan
㡪,nie
㡫,yi
㡭,ji
㡮,ji
㡯,du
㡯,duo
㡯,zhai
㡰,yu
㡱,jiu
㡲,huan
㡳,zhi
㡴,la
㡵,ling
㡶,zhi
㡷,ben
㡸,cha
㡸,zha
㡹,ju
㡺,dan
㡻,liao
㡼,yi
㡽,zhao
㡾,xian
㡿,chi
㢀,ci
㢁,chi
㢁,shi
㢂,dui
㢂,tui
㢂,yan
㢃,lang
㢄,dou
㢅,long
㢆,chan
㢈,dui
㢈,tui
㢉,cha
㢊,ai
㢊,yi
㢋,chi
㢍,ying
㢎,zhe
㢏,tou
㢏,yu
㢑,tui
㢒,cha
㢓,yao
㢔,zong
㢖,ban
㢖,pan
㢗,qiao
㢘,lian
㢙,qin
㢚,lu
㢛,qian
㢛,yan
㢜,kang
㢝,su
㢞,yi
㢟,chan
㢠,hui
㢡,jiang
㢣,jing
㢥,dong
㢧,juan
㢨,han
㢩,di
㢬,hong
㢮,chi
㢯,diao
㢯,min
㢰,bi
㢲,xun
㢳,lu
㢵,she
㢵,xie
㢶,bi
㢸,bi
㢺,xian
㢻,rui
㢼,bie
㢽,er
㢾,juan
㣀,zhen
㣁,bei
㣂,e
㣃,yu
㣄,qu
㣅,zan
㣆,mi
㣇,yi
㣈,si
㣌,shan
㣍,tai
㣎,mu
㣏,jing
㣐,bian
㣑,yong
㣒,ceng
㣓,can
㣔,cheng
㣔,zheng
㣙,di
㣙,zhou
㣚,dong
㣚,tong
㣛,hui
㣛,ta
㣜,xing
㣝,song
㣞,duo
㣟,xi
㣠,tao
㣠,tong
㣢,ti
㣣,shan
㣤,jian
㣥,zhi
㣦,wei
㣧,yin
㣪,huan
㣫,dong
㣫,zhong
㣬,qi
㣭,zong
㣯,xie
㣰,xie
㣱,ze
㣲,wei
㣵,ta
㣶,zhan
㣷,ning
㣺,xin
㣻,yi
㣼,ren
㣽,nu
㣽,shu
㣾,cha
㣿,diao
㣿,zhuo
㤁,mian
㤂,ji
㤃,fang
㤄,pei
㤅,ai
㤆,fan
㤇,ao
㤈,qin
㤉,qia
㤊,xiao
㤋,fen
㤌,gan
㤍,qiao
㤎,ge
㤏,tong
㤐,chan
㤑,you
㤒,gao
㤓,ben
㤔,fu
㤕,chu
㤕,po
㤖,zhu
㤘,chao
㤘,zhou
㤚,hang
㤛,nin
㤜,jue
㤝,chong
㤞,cha
㤞,duo
㤞,ze
㤟,kong
㤠,lie
㤡,li
㤡,lie
㤢,yu
㤤,yu
㤥,hai
㤦,li
㤧,hou
㤨,gong
㤩,ke
㤪,yuan
㤫,de
㤬,hui
㤮,guang
㤯,jiong
㤰,zuo
㤱,dou
㤱,fu
㤲,qie
㤳,bei
㤴,che
㤴,die
㤴,she
㤵,ci
㤶,mang
㤷,han
㤸,xi
㤹,jiu
㤹,qiu
㤺,huang
㤽,chou
㤾,san
㤿,yan
㥀,de
㥀,zhi
㥁,de
㥂,te
㥃,men
㥄,ling
㥅,shou
㥆,tui
㥇,can
㥈,die
㥉,che
㥊,peng
㥋,yi
㥌,ju
㥍,ji
㥍,qi
㥎,lai
㥏,tian
㥐,yuan
㥒,cai
㥓,qi
㥔,yu
㥕,lian
㥖,cong
㥚,yu
